"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"中國考古網","中國社會科學院考古研究所","2002","考古與物質文化","中國社會科學院考古研究所","CN-ARCHWEB-01","http://kaogu.cssn.cn/","zh","文字;圖檔","中國社會科學院考古研究所官方學科門戶網站，創辦於2002年，含考古新聞、學術動態、研究成果、田野報導等完整資訊，為中國考古學最權威之綜合性資訊平臺","考古;門戶網站;中國考古學","舊石器時代–明清","全中國","–","–","中國社會科學院考古研究所","–","2026-07-30","UNCLEAR","網站公開瀏覽；部分學術論文需授權","已收錄 metadata","中國考古學最重要之學科門戶網站"
"故宮博物院數位文物庫","國立故宮博物院","2021","考古與物質文化","國立故宮博物院","CN-NPM-DIGITAL-01","https://digitalarchive.npm.gov.tw/","zh","文字;圖檔","故宮博物院典藏資料檢索系統，收錄器物、書畫、織品等70萬件文物詮釋資料，涵蓋新石器時代至今，提供41萬幅開放圖檔（CC0/CC BY）","故宮;文物;數位典藏;博物館","新石器時代–明清","中國（含臺北故宮）","–","故宮典藏資料檢索","國立故宮博物院","–","2026-07-30","CC0;CC-BY","低階圖檔CC0、中階圖檔CC BY，無須申請不限用途","已收錄 metadata","藏品時間跨度8000年，為全球最重要之中國藝術文物數位典藏"
"中國國家博物館數字展厅","中國國家博物館","2020","考古與物質文化","中國國家博物館","CN-NMC-VR-01","https://www.chnmuseum.cn/portals/0/web/vr/","zh","圖檔;影音","中國國家博物館線上虛擬展厅，77個專題展廳VR全景，含「古代中國」「玉出紅山」「證古澤今—甲骨文」等史前至秦漢專題展","博物館;VR;數位展廳;考古","舊石器時代–明清","全中國","–","中國國家博物館","中國國家博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","中國國家博物館藏品143萬件，為全球最大之綜合性博物館"
"數字敦煌資源庫","敦煌研究院","2016","考古與物質文化","敦煌研究院","CN-DHA-DIGITAL-01","https://www.e-dunhuang.com/","zh;en","圖檔;影音","敦煌研究院「數字敦煌」資源庫，全球免費共享莫高窟30個精品洞窟高清數位圖像及全景漫遊，含壁畫數位化與3D彩塑重建","敦煌;石窟;壁畫;數位化","北魏–元","甘肅敦煌","–","數字藏經洞","敦煌研究院","–","2026-07-30","UNCLEAR","資源庫全球免費共享","已收錄 metadata","聯合國世界文化遺產，不可移動文物數位化典範"
"數字藏經洞數據庫","敦煌研究院","2025","考古與物質文化","敦煌研究院","CN-DHA-CAVE17-01","https://cave17.e-dunhuang.com/","zh;en","文字;圖檔","敦煌研究院「數字藏經洞」數據庫，集約國內外機構所藏敦煌莫高窟藏經洞出土約9,900卷經卷等文化財之數位資源","敦煌;藏經洞;寫本;佛教","唐–元","甘肅敦煌","–","數字敦煌資源庫","敦煌研究院","–","2026-07-30","UNCLEAR","數據庫公開瀏覽","已收錄 metadata","2025年5月正式公開"
"中國考古數據庫（CADB）","Pittsburgh大學","2021","考古與物質文化","匹茲堡大學","CN-CADB-01","http://www.cadb.pitt.edu/","en","文字;圖檔","China Archaeological Database（CADB），收錄69,369處考古遺址資訊，含新石器時代16,286處、青銅時代12,263處，涵蓋8000 BCE–220 CE","考古;遺址;數據庫;GIS","新石器時代–漢","全中國","–","Comparative Archaeology Database","University of Pittsburgh","–","2026-07-30","CC-BY","開放獲取學術數據","已收錄 metadata","國際合作開放考古數據庫"
"文物考古知識服務平臺","文物出版社","2025","考古與物質文化","文物出版社","CN-WENWU-KP-01","https://w.libvpn.cass.cn/","zh","文字;圖檔","文物出版社出版之專業知識服務平臺，含數位圖書館（4,000+冊考古發掘報告）、電子期刊庫（《文物》等）、學術圖片庫（20萬張圖片）、圖表資料庫","考古;文物;發掘報告;博物館","舊石器時代–明清","全中國","–","中國社會科學院圖書館","文物出版社","中國社會科學院圖書館","2026-07-30","ARR","需社科院授權或購買使用","已收錄 metadata","收錄1950年至今之核心考古資源"
"漢達文庫","香港中文大學中國文化研究所","2000","考古與物質文化","香港中文大學","CN-HANDA-01","https://www.chant.org/","zh","文字","漢達文庫包含甲骨文、竹簡帛書、金文、先秦兩漢、魏晉南北朝等七個出土文獻資料庫，以《殷周金文集成釋文》為據收錄銅器數據與拓本","甲骨文;金文;簡帛;出土文獻","商–南北朝","全中國","–","–","香港中文大學","–","2026-07-30","ARR","需授權使用","已收錄 metadata","先秦秦漢出土文獻研究必備資料庫"
"中華經典古籍庫","中華書局","2015","考古與物質文化","中華書局","CN-GUJI-ZHSJ-01","https://publish.ancientbooks.cn/","zh","文字","中華書局出版之整理本古籍資料庫，含二十四史、通鑑、新編諸子集成、清人十三經注疏等，為考古研究必備之傳世文獻基礎","古籍;經史子集;傳世文獻","先秦–明清","全中國","–","–","中華書局","–","2026-07-30","ARR","需授權使用","已收錄 metadata","連接傳世文獻與出土材料之關鍵資料庫"
"北京大學考古文博學院電子資源","北京大學考古文博學院","2024","考古與物質文化","北京大學","CN-PKU-ARCH-01","https://archaeology.pku.edu.cn/","zh","文字","北京大學考古文博學院官方網站，提供考古學常用中外文電子資源概覽，含90個資料庫介紹，涵蓋考古發掘報告、研究論集、科技考古等","考古;電子資源;學術資料庫","舊石器時代–明清","全中國","–","–","北京大學","–","2026-07-30","UNCLEAR","部分資源需北大校園網授權","已收錄 metadata","中國頂尖考古學系之學術資源整合"
