"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"金朝猛安謀克與女真制度史料","脫脫／宇文懋昭","金（1115–1234）","官方檔案文書","中央研究院","CN-ST-JIN-MENGAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","猛安謀克制為金朝女真之軍政合一同編制，「猛安」千夫長、「謀克」百夫長，兼具軍事組織、行政單位與土地分配功能，金初擴充為統治漢人之制度，後漸弛壞。史料見《金史·兵志》《百官志》《大金國志》，為理解女真征服政權組織之核心","猛安謀克;女真制度;金朝;兵制;金史","金","全中國","–","金史;大金國志;金代科舉與女真進士","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","女真軍政合一之核心制度","金")
"金中都水關遺址（北京豐臺）","北京市文物研究所","1990–1991","考古與物質文化","北京市文物研究所","CN-ST-JIN-SHUIGUAN-01","–","zh","圖檔;文字","金中都水關位於北京豐臺右安門外，為金中都南城垣水關（水門）遺址，1990年發現、1991年發掘，水關過水涵洞以石砌築，閘門鐵柱猶存，為金中都城水系與城防工程之罕見實物，現原址建館展示，係金朝城市水利考古之代表","金中都水關;水關遺址;豐臺;水利工程;城防","金","北京","–","金中都城址考古;元代京杭大運河與水利工程","北京市文物研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","金中都城水系之罕見實物","金")
"金代女真墓葬考古（黑龍江、吉林）","黑龍江省文物考古研究所;吉林省文物考古研究所","1970s–","考古與物質文化","黑龍江省文物考古研究所;吉林省文物考古研究所","CN-ST-JIN-MUZANG-01","–","zh","圖檔;文字","金代女真墓葬以火葬土葬並行、隨葬馬具兵器為特色，黑龍江阿城、吉林舒蘭等地屢有發現，如阿城巨源金墓出土完整女真貴族葬服與金冠，舒蘭完顏希尹家族墓地出土石碑與明器，反映女真喪葬習俗與漢化進程，為金代考古之重要組成","金代墓葬;女真葬俗;完顏希尹;葬服;考古","金","黑龍江;吉林","–","金上京遺址考古;女真文字石刻","黑龍江省文物考古研究所;吉林省文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","女真喪葬習俗與漢化之實證","金")
"趙城金藏（金代雕版大藏經）","中國國家圖書館","金（約1148–1173）","照片與影像","中國國家圖書館","CN-ST-JIN-JINZANG-01","https://www.nlc.cn/","zh","圖檔;文字","《趙城金藏》為金熙宗至世宗年間（約1148–1173）在山西趙城廣勝寺雕印之漢文大藏經，原有七千餘卷，今存四千餘卷藏中國國家圖書館，為金代雕版印刷之鴻篇巨製，亦是存世最完整之早期漢文大藏經刻本，中國印刷史與佛典文獻之瑰寶","趙城金藏;大藏經;金代雕版;廣勝寺;佛典","金","山西臨汾（洪洞）","–","五代雕版九經;西夏文佛經與活字印刷","中國國家圖書館","–","2026-07-31","ARR","館藏數位影像依國圖規定","已收錄 metadata","金代雕版印刷之鴻篇巨製","金")
"金代磁州窯與北方窯址","河北省文物考古研究院","金（12–13世紀）","考古與物質文化","河北省文物考古研究院","CN-ST-JIN-CIZHOU-01","–","zh","圖檔;文字","磁州窯以河北磁縣觀台為中心，金代為其極盛期，白地黑花裝飾與詩詞文字題材獨步一時，觀台窯址歷經系統發掘，出土大量金代瓷器與窯具，並見北方定窯、耀州窯金代窯場盛況，為金代北方手工業與陶瓷史之核心","磁州窯;觀台窯址;白地黑花;金代陶瓷;窯址","金","河北邯鄲","–","定窯遺址考古;汝窯考古;春水秋山玉器","河北省文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","金代北方窯業之代表","金")
"盧溝橋（金代石橋）","北京市文物研究所","金明昌三年（1192）","考古與物質文化","北京市文物研究所","CN-ST-JIN-LUGOUQIAO-01","–","zh","圖檔;文字","盧溝橋建於金章宗明昌三年（1192），橫跨永定河，全長二百餘米、石拱十一孔，欄柱雕獅四百餘，為金代石橋建築之典範，元明以來為燕京八景「盧溝曉月」所在，1937年七七事變更使其成為近代史見證，兼具金代工程技術與歷史意義","盧溝橋;金代石橋;石拱橋;燕京八景;永定河","金","北京","–","金中都城址考古;北京妙應寺白塔","北京市文物研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","金代石橋工程之典範","金")
"金代佛教遺存（大同華嚴寺、遼陽白塔）","山西省古建築保護研究所;遼寧省文物考古研究院","金（12–13世紀）","考古與物質文化","山西省古建築保護研究所;遼寧省文物考古研究院","CN-ST-JIN-FOJIAO-01","–","zh","圖檔;文字","金朝崇佛，寺塔遺存與遼並稱「遼金」：大同華嚴寺大雄寶殿為金天眷年間重建、面闊九間為現存遼金佛殿之最，遼陽白塔為金代磚塔，遼寧、山西多地金塔林立，反映女真佛教信仰與建築技藝，為遼金建築史之重要實例","華嚴寺大雄寶殿;遼陽白塔;金代佛教;磚塔;遼金建築","金","山西大同;遼寧遼陽","–","遼代佛教石窟與寺塔;應縣木塔","山西省古建築保護研究所;遼寧省文物考古研究院","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","遼金佛教建築並稱","金")
"中州集（元好問編，漢籍全文資料庫）","元好問","金末元初（1257）","傳世文獻","中央研究院","CN-ST-JIN-ZHONGZHOUJI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","金末元好問編《中州集》十卷，選錄金代二百五十餘位詩人作品二千餘首，每人繫以小傳，保存金源一代詩文與人物資料，兼寓存史之志，為金代詩歌總集之冠，亦是研究金朝文學與士人之最重要文獻","中州集;元好問;金代詩歌;總集;詩史","金","全中國","–","遺山先生文集;歸潛志;金史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","金代詩歌總集之冠","金")
"遺山先生文集（元好問，漢籍全文資料庫）","元好問","金末元初（13世紀）","傳世文獻","中央研究院","CN-ST-JIN-YISHAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","金末元初元好問《遺山先生文集》收錄其詩文、碑誌、書序，元好問為金代文宗，「喪亂詩」記錄金亡之際民間疾苦，所撰碑誌墓表保存大量金元之際人物與史事，其「中州萬古英雄氣」之詩風與存史意識影響深遠","遺山先生文集;元好問;金末;喪亂詩;碑誌","金","全中國","–","中州集;歸潛志;宋元學案","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","金代文宗之全集","金")
"完顏亮遷都燕京與金朝漢化史料","脫脫／宇文懋昭","金（1153）","官方檔案文書","中央研究院","CN-ST-JIN-HANHUA-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","海陵王完顏亮於貞元元年（1153）由上京會寧府遷都燕京，擴建中都，並令女真貴族自上京南徙，推動金朝政治中心南移與女真漢化；正隆年間又行官制改革，廢罷猛安謀克之世襲大權。史料見《金史·海陵紀》《百官志》及《大金國志》","完顏亮;遷都燕京;金中都;漢化;海陵王","金","全中國","–","金中都城址考古;金代科舉與女真進士制度","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","金朝政治重心南移之樞紐","金")
"春水秋山玉器（金元玉雕）","上海博物館","金元（12–14世紀）","照片與影像","上海博物館","CN-ST-JIN-CHUNSHUI-01","https://www.shanghaimuseum.net/","zh","圖檔","「春水」「秋山」為金元玉雕兩大主題，春水圖海東青搏天鵝、秋山圖鹿與山林，反映女真人四時捺缽打獵之習俗與審美，上海博物館等藏有大量透雕精品，為金元玉器工藝與北方民族生活史之直觀圖像史料","春水玉;秋山玉;玉雕;金元;海東青","金","全中國","–","遼朝四時捺缽與南北面官制史料;磁州窯","上海博物館","–","2026-07-31","ARR","館藏數位影像依館方規定","已收錄 metadata","女真捺缽生活之玉雕寫照","金")
"宋金對峙與海陵王南侵史料","脫脫／李心傳","金（1127–1161）","官方檔案文書","中央研究院","CN-ST-JIN-NANQIN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","金滅北宋後與南宋長期對峙，海陵王正隆六年（1161）傾國南侵，敗於采石磯，金世宗即位後與宋重訂和議。史料見《金史·海陵紀》《宋史·高宗紀》及《建炎以來繫年要錄》《三朝北盟會編》，為宋金戰爭與外交關係之關鍵","海陵王南侵;采石之戰;宋金對峙;和議","金","全中國","–","三朝北盟會編;建炎以來繫年要錄;靖康之變史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋金百年對峙之關鍵戰役","金")
